"region","point_id","lon","lat","ring","part","coord_label"
"1",1,120,20,1,1,"120°E
20°N"
"1",2,120,50,1,1,"120°E
50°N"
"1",3,210,50,1,1,"150°W
50°N"
"1",4,210,10,1,1,"150°W
10°N"
"1",5,140,10,1,1,"140°E
10°N"
"1",6,140,20,1,1,"140°E
20°N"
"1",7,120,20,1,1,"120°E
20°N"
"2",1,110,-10,1,1,"110°E
10°S"
"2",2,110,20,1,1,"110°E
20°N"
"2",3,140,20,1,1,"140°E
20°N"
"2",4,140,-10,1,1,"140°E
10°S"
"2",5,110,-10,1,1,"110°E
10°S"
"3",1,140,10,1,1,"140°E
10°N"
"3",2,210,10,1,1,"150°W
10°N"
"3",3,210,-10,1,1,"150°W
10°S"
"3",4,140,-10,1,1,"140°E
10°S"
"3",5,140,10,1,1,"140°E
10°N"
"4",1,140,-40,1,1,"140°E
40°S"
"4",2,140,-10,1,1,"140°E
10°S"
"4",3,210,-10,1,1,"150°W
10°S"
"4",4,210,-40,1,1,"150°W
40°S"
"4",5,140,-40,1,1,"140°E
40°S"
